fichier,format,prompt
lyophiliser-truffe-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried black truffle rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-foie-volaille-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw poultry liver, on the right the freeze-dried poultry liver with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-foie-volaille-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried poultry liver, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-foie-volaille-plateau.webp,800x600 (ar 4:3),"Freeze-dried poultry liver neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-foie-volaille-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried poultry liver rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-foie-gras-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw foie gras, on the right the freeze-dried foie gras with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-foie-gras-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried foie gras, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-foie-gras-plateau.webp,800x600 (ar 4:3),"Freeze-dried foie gras neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-foie-gras-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried foie gras rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-oeuf-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw egg, on the right the freeze-dried egg with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-oeuf-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried egg, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-oeuf-plateau.webp,800x600 (ar 4:3),"Freeze-dried egg neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-oeuf-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried egg rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-colostrum-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw colostrum, on the right the freeze-dried colostrum with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-colostrum-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried colostrum, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-colostrum-plateau.webp,800x600 (ar 4:3),"Freeze-dried colostrum neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-colostrum-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried colostrum rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-kefir-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw kefir grains, on the right the freeze-dried kefir grains with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-kefir-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried kefir grains, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-kefir-plateau.webp,800x600 (ar 4:3),"Freeze-dried kefir grains neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-kefir-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried kefir grains rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fromage-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw cheese, on the right the freeze-dried cheese with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fromage-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried cheese, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fromage-plateau.webp,800x600 (ar 4:3),"Freeze-dried cheese neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fromage-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried cheese rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-yaourt-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw yogurt, on the right the freeze-dried yogurt with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-yaourt-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried yogurt, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-yaourt-plateau.webp,800x600 (ar 4:3),"Freeze-dried yogurt neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-yaourt-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried yogurt rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-levain-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw sourdough starter, on the right the freeze-dried sourdough starter with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-levain-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried sourdough starter, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-levain-plateau.webp,800x600 (ar 4:3),"Freeze-dried sourdough starter neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-levain-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried sourdough starter rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-kombucha-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw kombucha scoby, on the right the freeze-dried kombucha scoby with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-kombucha-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried kombucha scoby, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-kombucha-plateau.webp,800x600 (ar 4:3),"Freeze-dried kombucha scoby neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-kombucha-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried kombucha scoby rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-chanvre-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw hemp leaf, on the right the freeze-dried hemp leaf with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-chanvre-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried hemp leaf, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-chanvre-plateau.webp,800x600 (ar 4:3),"Freeze-dried hemp leaf neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-chanvre-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried hemp leaf rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-basilic-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw basil, on the right the freeze-dried basil with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-basilic-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried basil, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-basilic-plateau.webp,800x600 (ar 4:3),"Freeze-dried basil neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-basilic-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried basil rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-menthe-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw mint, on the right the freeze-dried mint with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-menthe-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried mint, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-menthe-plateau.webp,800x600 (ar 4:3),"Freeze-dried mint neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-menthe-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried mint rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-pissenlit-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw dandelion, on the right the freeze-dried dandelion with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-pissenlit-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried dandelion, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-pissenlit-plateau.webp,800x600 (ar 4:3),"Freeze-dried dandelion neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-pissenlit-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried dandelion rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-gingembre-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw ginger, on the right the freeze-dried ginger with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-gingembre-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried ginger, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-gingembre-plateau.webp,800x600 (ar 4:3),"Freeze-dried ginger neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-gingembre-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried ginger rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-curcuma-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw turmeric, on the right the freeze-dried turmeric with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-curcuma-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried turmeric, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-curcuma-plateau.webp,800x600 (ar 4:3),"Freeze-dried turmeric neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-curcuma-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried turmeric rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-cafe-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw coffee, on the right the freeze-dried coffee with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-cafe-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried coffee, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-cafe-plateau.webp,800x600 (ar 4:3),"Freeze-dried coffee neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-cafe-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried coffee rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-the-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw tea leaves, on the right the freeze-dried tea leaves with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-the-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried tea leaves, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-the-plateau.webp,800x600 (ar 4:3),"Freeze-dried tea leaves neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-the-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried tea leaves rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-matcha-the-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw matcha, on the right the freeze-dried matcha with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-matcha-the-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried matcha, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-matcha-the-plateau.webp,800x600 (ar 4:3),"Freeze-dried matcha neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-matcha-the-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried matcha rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-miel-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw honey, on the right the freeze-dried honey with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-miel-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried honey, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-miel-plateau.webp,800x600 (ar 4:3),"Freeze-dried honey neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-miel-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried honey powder dissolving in warm water, spoon, close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-bouquet-mariee-avant-apres.webp,1200x630 (ar 1.91:1),"Split composition: fresh wedding bouquet on the left, a freeze-dried preserved wedding bouquet on the right keeping colour and shape. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-bouquet-mariee-macro.webp,800x600 (ar 4:3),"Macro close-up of a freeze-dried rose petal from a wedding bouquet, delicate preserved colour and veins. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-bouquet-mariee-plateau.webp,800x600 (ar 4:3),"A wedding bouquet arranged on a stainless-steel freeze-dryer tray, petals separated for drying. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-bouquet-mariee-rehydratation.webp,800x600 (ar 4:3),"A preserved freeze-dried wedding bouquet displayed under a clear glass dome, elegant keepsake. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fleur-avant-apres.webp,1200x630 (ar 1.91:1),"Split composition: fresh cut flowers on the left, freeze-dried preserved flowers on the right with intact colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fleur-macro.webp,800x600 (ar 4:3),"Macro of a freeze-dried flower petal, preserved vivid colour and structure. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fleur-plateau.webp,800x600 (ar 4:3),"Freeze-dried flowers arranged on a stainless-steel drying tray. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-fleur-rehydratation.webp,800x600 (ar 4:3),"Preserved freeze-dried flowers in a decorative frame, keepsake. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-document-sinistre-avant-apres.webp,1200x630 (ar 1.91:1),"Split composition: a water-damaged wet swollen book on the left, the same book restored and dry after freeze-drying on the right. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-document-sinistre-macro.webp,800x600 (ar 4:3),"Macro of restored dry book pages after freeze-drying, flat and clean paper. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-document-sinistre-plateau.webp,800x600 (ar 4:3),"Water-damaged books and archival documents placed on freeze-dryer shelves for restoration. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
